year,month_num,month_abb,chapter,commodity,value_thousand_usd
2018,4,Apr,61,"Articles of apparel and clothing accessories, knitted or crocheted.",384891.9242
2018,4,Apr,62,"Articles of apparel and clothing accessories, not knitted or crocheted.",52322.79377
2018,4,Apr,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,8770.33907
2018,4,Apr,64,"Footwear, gaiters and the like; parts of such articles.",67491.96061
2018,4,Apr,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin.",13172.787
2018,4,Apr,73,Articles of iron or steel.,2746.96352
2018,4,Apr,76,Aluminium and articles thereof,1931.98537
2018,4,Apr,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",6592.8462
2018,4,Apr,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",34171.01159
2018,4,Apr,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",31135.91084
2018,4,Apr,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",4201.19083
2018,4,Apr,99,Others,23049.90945
2018,3,Mar,10,Cereals.,37997.69878
2018,3,Mar,11,Products of the milling industry; malt; starches; inulin; wheat gluten.,4482.62929
2018,3,Mar,17,Sugars and sugar confectionery.,6973.025
2018,3,Mar,22,"Beverages, spirits and vinegar.",3299.31381
2018,3,Mar,23,Residues and waste from the food industries; prepared animal fodder.,3196.02478
2018,3,Mar,39,Plastics and articles thereof.,15829.43905
2018,3,Mar,40,Rubber and articles thereof.,12883.70218
2018,3,Mar,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",42719.99549
2018,3,Mar,43,Furskins and artificial fur; manufactures thereof.,12302.88952
2018,3,Mar,44,Wood and articles of wood; wood charcoal.,13376.7057
2018,3,Mar,61,"Articles of apparel and clothing accessories, knitted or crocheted.",555777.3738
2018,3,Mar,62,"Articles of apparel and clothing accessories, not knitted or crocheted.",86093.35611
2018,3,Mar,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,12926.69437
2018,3,Mar,64,"Footwear, gaiters and the like; parts of such articles.",78815.16383
2018,3,Mar,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin.",5908.41325
2018,3,Mar,73,Articles of iron or steel.,4025.99417
2018,3,Mar,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",7060.60937
2018,3,Mar,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",41954.48243
2018,3,Mar,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",42420.38166
2018,3,Mar,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",6209.99371
2018,3,Mar,99,Others,39273.37776
2018,2,Feb,10,Cereals.,29650.43284
2018,2,Feb,11,Products of the milling industry; malt; starches; inulin; wheat gluten.,7349.29779
2018,2,Feb,17,Sugars and sugar confectionery.,7262.0502
2018,2,Feb,22,"Beverages, spirits and vinegar.",1816.56701
2018,2,Feb,23,Residues and waste from the food industries; prepared animal fodder.,2092.20134
2018,2,Feb,39,Plastics and articles thereof.,13015.46335
2018,2,Feb,40,Rubber and articles thereof.,13374.82745
