year,month_num,month_abb,chapter,commodity,value_thousand_usd
2025,5,May,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",365722.472
2025,5,May,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",212795.8255
2025,5,May,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",34585.75777
2025,5,May,99,Others,627804.5022
2025,4,Apr,23,Residues and waste from the food industries; prepared animal fodder.,30835.88557
2025,4,Apr,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",310999.7304
2025,4,Apr,31,Fertilisers.,32257.33084
2025,4,Apr,38,Miscellaneous chemical products.,34380.46372
2025,4,Apr,39,Plastics and articles thereof.,114392.4497
2025,4,Apr,40,Rubber and articles thereof.,45032.47925
2025,4,Apr,41,Raw hides and skins (other than furskins) and leather.,44529.11281
2025,4,Apr,43,Furskins and artificial fur; manufactures thereof.,45688.60689
2025,4,Apr,44,Wood and articles of wood; wood charcoal.,39486.48971
2025,4,Apr,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",60471.46818
2025,4,Apr,52,Cotton,64152.74347
2025,4,Apr,55,Man- made staple fibres.,133931.2183
2025,4,Apr,60,Knitted or crocheted fabrics.,322836.7187
2025,4,Apr,72,Iron and steel.,76008.48792
2025,4,Apr,73,Articles of iron or steel.,112101.8102
2025,4,Apr,76,Aluminium and articles thereof,81761.59304
2025,4,Apr,83,Miscellaneous articles of base metal.,35390.81335
2025,4,Apr,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",200681.3159
2025,4,Apr,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",223617.921
2025,4,Apr,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",193563.488
2025,4,Apr,99,Others,592505.2704
2025,3,Mar,23,Residues and waste from the food industries; prepared animal fodder.,28728.48801
2025,3,Mar,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",304742.5584
2025,3,Mar,39,Plastics and articles thereof.,121910.2416
2025,3,Mar,40,Rubber and articles thereof.,49065.62665
2025,3,Mar,41,Raw hides and skins (other than furskins) and leather.,41841.22101
2025,3,Mar,44,Wood and articles of wood; wood charcoal.,26739.86806
2025,3,Mar,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",65398.17644
2025,3,Mar,52,Cotton,72695.84063
2025,3,Mar,55,Man- made staple fibres.,125569.8508
2025,3,Mar,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery.,30541.11769
2025,3,Mar,60,Knitted or crocheted fabrics.,296245.6338
2025,3,Mar,64,"Footwear, gaiters and the like; parts of such articles.",31738.6953
2025,3,Mar,72,Iron and steel.,72051.75001
2025,3,Mar,73,Articles of iron or steel.,97570.88633
2025,3,Mar,76,Aluminium and articles thereof,65402.29353
2025,3,Mar,83,Miscellaneous articles of base metal.,35130.96867
