Date,CPI_all_item,Midpoint,Purchase,Sale,Exchange_Rate
2019-02-22,175.99,4017.8214285714284,4012.6071428571427,4022.535714285714,4007.785714285714
2019-03-22,176.45,4014.032258064516,4008.935483870968,4018.2258064516127,3998.8064516129034
2019-04-22,177.02,4036.8333333333335,4031.8,4041.1666666666665,4031.366666666667
2019-05-22,177.36,4061.8387096774195,4056.548387096774,4066.8387096774195,4054.483870967742
2019-06-22,176.67,4075.5333333333333,4070.5,4080.3,4071.3333333333335
2019-07-22,177.47,4082.7741935483873,4077.548387096774,4087.3225806451615,4078.3548387096776
2019-08-22,178.5,4087.3225806451615,4082.3870967741937,4091.8709677419356,4085.3548387096776
2019-09-22,178.45,4101.966666666666,4096.4,4107.1,4096.133333333333
2019-10-22,178.25,4083.8064516129034,4078.1935483870966,4088.935483870968,4066.935483870968
2019-11-22,178.5,4073.766666666667,4068.4333333333334,4078.7,4057.633333333333
2019-12-22,179.95,4080.1290322580644,4075.1290322580644,4085.1290322580644,4064.7096774193546
2020-01-22,180.8,4091.451612903226,4086.1935483870966,4096.5161290322585,4063.5806451612902
2020-02-22,180.65,4092.689655172414,4087.793103448276,4096.931034482759,4073.4137931034484
2020-03-22,181.46,4070.0967741935483,4064.3225806451615,4075.483870967742,4055.5806451612902
2020-04-22,180.41,4086.9,4081.4333333333334,4091.9333333333334,4068.266666666667
2020-05-22,181.56,4117.677419354839,4113.096774193548,4121.8387096774195,4106.1612903225805
2020-06-22,182.36,4100.1,4094.6,4105.2,4087.1
2020-07-22,183.01,4103.645161290323,4099.1612903225805,4107.322580645161,4092.064516129032
2020-08-22,182.79,4105.548387096775,4100.806451612903,4109.5161290322585,4096.709677419355
2020-09-22,183.56,4108.966666666666,4104.866666666667,4112.6,4095.0
2020-10-22,184.91,4104.548387096775,4100.032258064516,4108.612903225807,4093.064516129032
2020-11-22,185.1,4072.5,4068.266666666667,4076.366666666667,4056.366666666667
2020-12-22,185.13,4062.2258064516127,4057.3225806451615,4066.5806451612902,4041.967741935484
2021-01-22,185.49,4074.2903225806454,4069.3548387096776,4078.7096774193546,4055.1290322580644
2021-02-22,183.78,4087.6071428571427,4082.6785714285716,4091.785714285714,4069.285714285714
2021-03-22,185.23,4073.8709677419356,4068.8387096774195,4078.1935483870966,4053.2580645161293
2021-04-22,185.36,4072.866666666667,4066.0666666666666,4078.866666666667,4047.366666666667
2021-05-22,186.98,4098.709677419355,4092.2903225806454,4104.580645161291,4064.1290322580644
2021-06-22,187.36,4107.0,4101.4,4112.2,4078.1
2021-07-22,189.11,4109.4838709677415,4103.612903225807,4114.806451612903,4072.0
2021-08-22,189.0,4119.387096774193,4114.032258064516,4124.354838709677,4077.5806451612902
2021-09-22,189.0,4122.1,4116.766666666666,4126.966666666666,4078.9333333333334
2021-10-22,190.36,4108.774193548387,4102.774193548387,4114.322580645161,4074.064516129032
2021-11-22,192.12,4103.7,4098.266666666666,4108.966666666666,4069.4666666666667
2021-12-22,191.98,4111.612903225807,4106.225806451613,4116.322580645161,4072.5806451612902
2022-01-22,193.06,4105.419354838709,4100.709677419355,4109.4838709677415,4071.8709677419356
2022-02-22,195.41,4092.964285714286,4088.035714285714,4097.321428571428,4067.0
2022-03-22,198.56,4066.064516129032,4060.3870967741937,4071.032258064516,4050.9032258064517
2022-04-22,198.8,4070.0333333333333,4064.0,4075.766666666667,4045.4333333333334
2022-05-22,200.39,4092.548387096774,4087.1935483870966,4097.225806451613,4058.7741935483873
2022-06-22,202.06,4092.266666666667,4087.9666666666667,4096.0,4064.0
2022-07-22,199.28,4098.258064516129,4093.1935483870966,4102.645161290323,4086.0967741935483
2022-08-22,198.35,4103.387096774193,4099.193548387097,4107.193548387097,4102.903225806452
2022-09-22,197.39,4116.166666666667,4111.266666666666,4120.766666666666,4115.1
2022-10-22,197.28,4134.419354838709,4129.064516129032,4139.064516129032,4132.580645161291
2022-11-22,198.28,4139.0,4134.066666666667,4143.366666666667,4138.866666666667
2022-12-22,197.48,4116.8387096774195,4111.387096774193,4121.774193548387,4114.5161290322585
2023-01-22,198.78,4115.677419354839,4110.967741935484,4120.096774193548,4114.193548387097
2023-02-22,199.71,4081.285714285714,4075.8928571428573,4086.3571428571427,4083.214285714286
2023-03-22,199.96,4056.7096774193546,4050.5806451612902,4062.2903225806454,4055.064516129032
2023-04-22,200.93,4074.8,4068.6666666666665,4080.6,4071.233333333333
2023-05-22,201.34,4117.741935483871,4112.451612903225,4122.580645161291,4115.677419354839
2023-06-22,202.14,4124.366666666667,4118.9,4129.5,4123.9
2023-07-01,203.02,4129.419354838709,4124.258064516129,4134.419354838709,4128.806451612903
2023-08-01,204.76,4141.580645161291,4136.580645161291,4146.0,4140.129032258064
2023-09-01,204.8,4130.633333333333,4124.766666666666,4136.066666666667,4128.9
2023-10-01,204.95,4131.451612903225,4126.290322580645,4136.290322580645,4131.1612903225805
2023-11-01,203.62,4120.6,4115.6,4124.933333333333,4120.833333333333
2023-12-01,202.84,4106.032258064516,4100.935483870968,4110.741935483871,4106.096774193548
